,right hip flexion,right knee flexion,right ankle flexion,left hip flexion,left knee flexion,left ankle flexion
384,-35.694038600612295,0.4133751064250806,60.239251980189124,-47.890858817751344,-2.460230869410016,
385,-35.679977143169815,0.4133239703591708,60.2309653643314,-47.88572403128396,-2.459968177671072,
386,-35.671351640961674,0.4131788267670607,60.20893868779867,-47.88191120532884,-2.459744004460809,
387,-35.66715184641345,0.41299028986412817,60.18267700165021,-47.8790504353471,-2.4595867414488763,
388,-35.66616164438699,0.4127932086271271,60.15795412990259,-47.87679602007554,-2.459498704490532,
389,-35.66718139762156,0.41260747060894626,60.13730050634301,-47.87487262396077,-2.459465943277929,
390,-35.66917499477492,0.4124425123597551,60.12115104777738,-47.87310192582529,-2.459469511354062,
391,-35.67134551922722,0.4123020740545291,60.108969037450265,-47.87140206003692,-2.4594931743879767,
392,-35.673155243696904,0.41218741215912874,60.1000129373927,-47.869764192446674,-2.4595265301199616,
393,-35.6813236582762,0.41207110583687623,60.10341453987211,-47.86986358078338,-2.45965552321162,
394,-35.6981189274531,0.41205505185485714,60.145098943004044,-47.87307308980458,-2.46008045119432,
395,-35.71028335894778,0.41227829460291676,60.22636891194005,-47.876556334507846,-2.460756258022723,
396,-35.713831810969445,0.41271261112597346,60.335006320785894,-47.87898984422929,-2.461538608251612,
397,-35.71031949043083,0.41324428798230056,60.451554754800114,-47.87997224395525,-2.4622614583012568,
398,-35.70311871506085,0.4137763066878289,60.5627818912326,-47.87956559310732,-2.4628513685353726,
399,-35.69494225488049,0.414251931997703,60.661665288880094,-47.87806590774332,-2.463295831128864,
400,-35.68497749318945,0.4146676095143198,60.74473262842308,-47.87519442248309,-2.4636062368331775,
401,-35.66995472929334,0.41505708866394947,60.814865487770426,-47.870357393043676,-2.463846110932648,
402,-35.66244869925979,0.41526067427180074,60.87393673647616,-47.8935292215993,-2.4640194380811566,
403,-35.666921850294024,0.4150896313007268,60.91222616957418,-47.96755858661405,-2.4640325969258248,
404,-35.680931305083384,0.41457158373214004,60.92234881082292,-48.05507740184412,-2.4638511759487964,
405,-35.70027746492865,0.413853230762009,60.91289965583345,-48.13227907141241,-2.463586286216067,
406,-35.722197913101176,0.4130470661794754,60.88885176185137,-48.18918195117605,-2.4632844146922017,
407,-35.744272695334665,0.41224039657628875,60.85559715623108,-48.22617997419259,-2.4629854159707487,
408,-35.76382899582969,0.4115157869107869,60.8227564472373,-48.24701076313651,-2.4627576682501826,
409,-35.78108806211891,0.4109095905827168,60.797994781380105,-48.255866964957015,-2.4626311647186174,
410,-35.79674198047298,0.4104213625482272,60.78351267333913,-48.25637221440035,-2.462592968738095,
411,-35.81128984788115,0.4100431489700432,60.780530316153246,-48.2514167319972,-2.4626320530752754,
412,-35.8248543070485,0.4097682772535527,60.78980275644683,-48.24329460182545,-2.4627405046428867,
413,-35.836887365619305,0.40959632605863905,60.811464039660315,-48.23396537865925,-2.4629087123251003,
414,-35.84675570395066,0.4095117707062908,60.842193673604434,-48.22445728511303,-2.463102938405343,
415,-35.854368613635074,0.4095020003479414,60.88059648372823,-48.2152146389296,-2.463317680900568,
416,-35.85960725307771,0.40953201578151255,60.91957053934229,-48.20647755778891,-2.4634967318244456,
417,-35.862533053228205,0.4095668962037438,60.95248632904825,-48.19838789736128,-2.4636055072952647,
418,-35.86349035522751,0.4095848927604737,60.97559400587017,-48.19102900420932,-2.463636335022546,
419,-35.86287725919101,0.4095731398784604,60.986765232070105,-48.18451344577107,-2.4635904174066234,
420,-35.86108316133381,0.4095238839933193,60.984912535144915,-48.17895155798435,-2.463472943871457,
421,-35.85847721166479,0.4094326223160173,60.969595629816745,-48.17435085111226,-2.463289863910275,
422,-35.85536578324164,0.40929757309378706,60.940757682721745,-48.17066515116234,-2.463046086576138,
423,-35.851997647772,0.4091196444867081,60.89877880926488,-48.16791413981909,-2.462746628727202,
424,-35.84855414077023,0.40890159711796736,60.84440797671631,-48.16619477287914,-2.4623976390640614,
425,-35.845179594912416,0.4086482509795292,60.77879421141473,-48.165680000139474,-2.4620070751713565,
426,-35.841985725369554,0.4083667815105488,60.703550365372955,-48.1667530317729,-2.461585246713445,
427,-35.83865796529391,0.40805515222508376,60.61746819432574,-48.170134194400376,-2.461114164440725,
428,-35.835997712223204,0.4077399088375135,60.528034107685535,-48.17679079757198,-2.4606633588385525,
429,-35.83389720922141,0.40743610807455133,60.437868601502515,-48.18806878748406,-2.460230251792953,
430,-35.832154409415836,0.40714859721926583,60.34833660987462,-48.20536641480727,-2.4598183957285347,
431,-35.8307815110983,0.40688927397436986,60.26245122006208,-48.22973747428482,-2.4594414803535978,
