actor/alpha_mean,actor/alpha_mean_loss,actor/alpha_std,actor/alpha_std_loss,actor/kl_mean_loss,actor/kl_std_loss,actor/penalty_temperature,actor/policy_mean_loss,actor/policy_std_loss,actor/temperature,actor/temperature_loss,critic/loss,critic/q,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/effort/max,test/effort/mean,test/effort/min,test/effort/size,test/effort/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,test/rwd_metrics/act_mag/max,test/rwd_metrics/act_mag/mean,test/rwd_metrics/act_mag/min,test/rwd_metrics/act_mag/size,test/rwd_metrics/act_mag/std,test/rwd_metrics/dense/max,test/rwd_metrics/dense/mean,test/rwd_metrics/dense/min,test/rwd_metrics/dense/size,test/rwd_metrics/dense/std,test/rwd_metrics/done/max,test/rwd_metrics/done/mean,test/rwd_metrics/done/min,test/rwd_metrics/done/size,test/rwd_metrics/done/std,test/rwd_metrics/fall/max,test/rwd_metrics/fall/mean,test/rwd_metrics/fall/min,test/rwd_metrics/fall/size,test/rwd_metrics/fall/std,test/rwd_metrics/foot_contact/max,test/rwd_metrics/foot_contact/mean,test/rwd_metrics/foot_contact/min,test/rwd_metrics/foot_contact/size,test/rwd_metrics/foot_contact/std,test/rwd_metrics/pelvis_move/max,test/rwd_metrics/pelvis_move/mean,test/rwd_metrics/pelvis_move/min,test/rwd_metrics/pelvis_move/size,test/rwd_metrics/pelvis_move/std,test/rwd_metrics/ref_rot/max,test/rwd_metrics/ref_rot/mean,test/rwd_metrics/ref_rot/min,test/rwd_metrics/ref_rot/size,test/rwd_metrics/ref_rot/std,test/rwd_metrics/solved/max,test/rwd_metrics/solved/mean,test/rwd_metrics/solved/min,test/rwd_metrics/solved/size,test/rwd_metrics/solved/std,test/rwd_metrics/sparse/max,test/rwd_metrics/sparse/mean,test/rwd_metrics/sparse/min,test/rwd_metrics/sparse/size,test/rwd_metrics/sparse/std,test/terminated/max,test/terminated/mean,test/terminated/min,test/terminated/size,test/terminated/std,train/action/max,train/action/mean,train/action/min,train/action/size,train/action/std,train/episode_length/max,train/episode_length/mean,train/episode_length/min,train/episode_length/size,train/episode_length/std,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/epochs,train/seconds,train/steps,train/steps_per_second,train/worker_steps
0.33748794,0.023209458,44.299503,-0.0781717,0.00041469774,0.08127266,13.614041,144.39919,144.39749,0.95838547,-94.62068,1.4974008,-92.05599,0.99999696,-0.0485058,-1.0,70,0.7132842,0.1631187016010702,0.1631187016010702,0.1631187016010702,10,0.0,7,7.0,7,10,0.0,-82.72187795328799,-82.72187795328799,-82.72187795328799,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,,,,,,-70.0,-70.0,-70.0,10,0.0,55.99702420777525,55.99702420777525,55.99702420777525,10,0.0,31.281097838936752,31.28109783893676,31.281097838936752,10,3.552713678800501e-15,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.1428571428571428,0.1428571428571428,0.1428571428571428,10,0.0,5.435624,-0.0445824,-6.018185,3125,1.0295048,36.0,8.253931563957568,7.0,24227.0,1.0858971109364943,-81.49283609108926,-83.31626517009333,-272.8264126240807,24227.0,5.019691071633303,194158.0,306.39912843704224,200000.0,11.0,3243.355735063553,2200000.0,652.7433711062114,34375.0
0.2608454,0.017985195,48.08013,-0.010799525,0.0002739847,0.014165136,13.453282,143.92001,143.91464,0.83894074,-93.89192,1.2705694,-91.40441,0.9999967,-0.05135115,-1.0,70,0.70514953,0.157106063743212,0.157106063743212,0.157106063743212,10,0.0,7,7.0,7,10,0.0,-83.59797359505625,-83.59797359505625,-83.59797359505625,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,,,,,,-70.0,-70.0,-70.0,10,0.0,55.78724453460954,55.78724453460954,55.78724453460954,10,0.0,30.6147818703342,30.6147818703342,30.6147818703342,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.1428571428571428,0.1428571428571428,0.1428571428571428,10,0.0,5.51502,-0.049455445,-5.9034867,3125,1.01604,24.0,8.624029670519235,7.0,23188.0,0.8546792195786805,-81.35522451255099,-83.12573116783055,-168.20223651168791,23188.0,1.4262008923446097,217346.0,307.5773675441742,200000.0,12.0,3550.933102607727,2400000.0,650.2429018002309,37500.0
0.07623564,0.005267485,52.428837,-0.008330728,6.90098e-05,0.012000745,13.345107,143.45854,143.45122,0.7292318,-93.579636,1.2985808,-91.03752,0.9999975,-0.055335034,-1.0,70,0.7030574,0.1560775575915254,0.1560775575915254,0.1560775575915254,10,0.0,7,7.0,7,10,0.0,-83.41531709509654,-83.41531709509653,-83.41531709509654,10,1.4210854715202004e-14,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,,,,,,-70.0,-70.0,-70.0,10,0.0,56.13090264763871,56.13090264763871,56.13090264763871,10,7.105427357601002e-15,30.45378025726475,30.453780257264743,30.45378025726475,10,3.552713678800501e-15,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.1428571428571428,0.1428571428571428,0.1428571428571428,10,0.0,5.934538,-0.052541465,-5.492119,3125,1.0111556,42.0,8.990963449175021,7.0,22243.0,1.2464431912885443,-81.2938017410008,-83.77177668939474,-320.1470327497948,22243.0,5.990940276038322,239589.0,309.3768332004547,200000.0,13.0,3860.3099358081818,2600000.0,646.4608158633969,40625.0
0.001972456,0.00013486993,57.494194,-0.006409041,3.2019595e-06,0.010433635,13.203193,143.02615,143.01923,0.6725882,-93.39204,1.2921054,-90.81275,0.99999785,-0.051013663,-1.0,70,0.6907317,0.1545441967912375,0.1545441967912375,0.1545441967912375,10,0.0,7,7.0,7,10,0.0,-83.19064242673704,-83.19064242673703,-83.19064242673704,10,1.4210854715202004e-14,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,,,,,,-70.0,-70.0,-70.0,10,0.0,56.32654811086988,56.326548110869886,56.32654811086988,10,7.105427357601002e-15,30.48280946239308,30.482809462393085,30.48280946239308,10,3.552713678800501e-15,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.1428571428571428,0.1428571428571428,0.1428571428571428,10,0.0,5.9770026,-0.053855076,-5.47682,3125,1.0033078,22.0,9.00670899185015,7.0,22209.0,0.8311444175533688,-81.36114197906022,-83.2730959710188,-143.99594053708935,22209.0,1.3227893550260317,261798.0,308.5095674991608,200000.0,14.0,4168.819503307343,2800000.0,648.2781121546386,43750.0
7.582348e-05,5.152606e-06,63.01124,-0.005852262,1.550383e-07,0.010263049,13.054797,142.64223,142.63577,0.6415358,-93.26535,1.2858421,-90.69433,0.99999595,-0.034639303,-1.0,70,0.6551069,0.1491496438573625,0.1491496438573625,0.1491496438573625,10,0.0,7,7.0,7,10,0.0,-83.08608778448344,-83.08608778448344,-83.08608778448344,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,,,,,,-70.0,-70.0,-70.0,10,0.0,56.04130219395211,56.04130219395212,56.04130219395211,10,7.105427357601002e-15,30.87261002156446,30.87261002156446,30.87261002156446,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.1428571428571428,0.1428571428571428,0.1428571428571428,10,0.0,5.3881345,-0.046901673,-5.3131795,3125,0.9899082,23.0,9.285011144130758,7.0,21536.0,0.8635716633299275,-81.35255421105147,-83.28425562357847,-142.74265386017902,21536.0,1.4450787135510343,283334.0,299.2758078575134,200000.0,15.0,4468.095311164856,3000000.0,668.279876785834,46875.0
4.7773174e-06,3.216156e-07,68.44096,-0.005321925,1.2796621e-08,0.010112792,12.917466,142.29263,142.28697,0.6493167,-93.24907,1.0727631,-90.737114,0.9999951,-0.022676729,-0.9999996,80,0.59154373,0.1393168842316011,0.1393168842316011,0.1393168842316011,10,2.775557561562892e-17,8,8.0,8,10,0.0,-82.85507869347728,-82.85507869347728,-82.85507869347728,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,,,,,,-80.0,-80.0,-80.0,10,0.0,61.97334674398457,61.97334674398458,61.97334674398457,10,7.105427357601002e-15,35.171574562538126,35.171574562538126,35.171574562538126,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.125,0.125,0.125,10,0.0,5.470696,-0.042310555,-5.781192,3125,0.97519106,19.0,10.008156525220176,8.0,19984.0,1.0257803393334786,-81.44276948605334,-83.90446706726352,-124.3340416189278,19984.0,2.0245218778749794,303318.0,303.5154871940613,200000.0,16.0,4771.610798358917,3200000.0,658.9449581270437,50000.0
4.622421e-07,3.054832e-08,73.66516,-0.0053742565,1.8086164e-09,0.010530816,12.83895,141.92757,141.9212,0.654281,-93.49893,1.0463033,-91.012375,0.9999939,-0.018459313,-0.9999999,80,0.5941228,0.1439765556870744,0.1439765556870744,0.1439765556870744,10,0.0,8,8.0,8,10,0.0,-82.61504689748114,-82.61504689748112,-82.61504689748114,10,1.4210854715202004e-14,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,,,,,,-80.0,-80.0,-80.0,10,0.0,61.49750208941797,61.49750208941796,61.49750208941797,10,7.105427357601002e-15,35.887451013100886,35.887451013100886,35.887451013100886,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.125,0.125,0.125,10,0.0,5.5846205,-0.044782437,-6.0470695,3125,0.967029,22.0,10.580506905127256,8.0,18899.0,1.0498012113772377,-81.34702649828128,-84.49539915128373,-131.369597875033,18899.0,2.336178871595533,322217.0,300.8093042373657,200000.0,17.0,5072.420102596283,3400000.0,664.873051407286,53125.0
1.6236321e-07,1.0572186e-08,78.81938,-0.004302398,7.9324064e-10,0.009819754,12.793397,141.45589,141.44916,0.6331416,-93.7213,0.7716707,-91.21497,0.9999852,-0.009197455,-0.99999994,80,0.5839195,0.1416492149597403,0.1416492149597403,0.1416492149597403,10,0.0,8,8.0,8,10,0.0,-82.50136124195414,-82.50136124195413,-82.50136124195414,10,1.4210854715202004e-14,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,,,,,,-80.0,-80.0,-80.0,10,0.0,61.37451206138533,61.374512061385325,61.37451206138533,10,7.105427357601002e-15,36.124126696660525,36.124126696660525,36.124126696660525,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.125,0.125,0.125,10,0.0,5.4594655,-0.04863434,-5.6656218,3125,0.9659696,24.0,10.61957098863757,8.0,18834.0,0.9753581212404242,-81.3680650743602,-84.17352008347554,-166.00624725006742,18834.0,2.144309234947978,341051.0,294.3452899456024,200000.0,18.0,5366.765392541885,3600000.0,679.4740966874712,56250.0
1.2086113e-07,7.860677e-09,83.83954,-0.003837872,5.9960287e-10,0.009706641,12.7610445,140.94925,140.94275,0.596686,-93.829025,0.50694174,-91.30508,0.9999915,-0.001012375,-1.0,80,0.57814926,0.1393055075303702,0.1393055075303702,0.1393055075303702,10,0.0,8,8.0,8,10,0.0,-82.41083337748131,-82.41083337748132,-82.41083337748131,10,1.4210854715202004e-14,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,,,,,,-80.0,-80.0,-80.0,10,0.0,61.19432392422611,61.1943239242261,61.19432392422611,10,7.105427357601002e-15,36.39484269829259,36.394842698292585,36.39484269829259,10,7.105427357601002e-15,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.125,0.125,0.125,10,0.0,5.888489,-0.0528692,-5.333667,3125,0.9669319,19.0,10.512565720294427,8.0,19020.0,0.8747538873601024,-81.16785290008353,-83.72301741371501,-114.95164064888556,19020.0,1.5589127239914289,360071.0,302.24593591690063,200000.0,19.0,5669.011328458786,3800000.0,661.7127849652474,59375.0
1.03596136e-07,6.739836e-09,88.47713,-0.0033265615,5.1189464e-10,0.009519961,12.751669,140.477,140.47058,0.58428794,-93.9819,0.71459734,-91.4332,0.99999666,0.0043907026,-1.0,90,0.57041734,0.1371423505594853,0.1371423505594853,0.1371423505594853,10,0.0,9,9.0,9,10,0.0,-82.44651694672122,-82.44651694672122,-82.44651694672122,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,,,,,,-90.0,-90.0,-90.0,10,0.0,66.71834100581253,66.71834100581255,66.71834100581253,10,1.4210854715202004e-14,40.83514204746625,40.83514204746625,40.83514204746625,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,10,1.3877787807814457e-17,5.2836514,-0.05386018,-5.472181,3125,0.9716859,37.0,10.500734830988872,7.0,19052.0,1.017457055389329,-81.39474360664899,-83.59002139240548,-270.5744656827161,19052.0,4.30281060610787,379123.0,298.16860938072205,200000.0,20.0,5967.179937839508,4000000.0,670.7614205780674,62500.0
9.243801e-08,6.0068777e-09,92.68583,-0.0029143877,4.637823e-10,0.009402396,12.753419,140.00986,140.00357,0.5780182,-94.057625,0.91993934,-91.489815,0.9999986,0.007354806,-1.0,90,0.5705831,0.1366926210634738,0.1366926210634738,0.1366926210634738,10,0.0,9,9.0,9,10,0.0,-82.29957904450723,-82.29957904450723,-82.29957904450723,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,,,,,,-90.0,-90.0,-90.0,10,0.0,66.44908858646099,66.44908858646099,66.44908858646099,10,0.0,41.251332369031786,41.251332369031786,41.251332369031786,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,10,1.3877787807814457e-17,5.2732058,-0.053985666,-5.8866835,3125,0.97295856,38.0,10.511906639331336,7.0,19023.0,1.0163219601939164,-81.2875895996863,-83.42035512782627,-286.14717330445023,19023.0,4.580180682934151,398146.0,300.6130287647248,200000.0,21.0,6267.792966604233,4200000.0,665.3071585813744,65625.0
